timeline,game_id,team,inning,score
21,1,1,8,1
21,1,0,9,0
21,1,1,9,0
22,1,0,1,0
22,1,1,1,0
22,1,0,2,2
22,1,1,2,0
22,1,0,3,0
22,1,1,3,0
22,1,0,4,0
22,1,1,4,0
22,1,0,5,0
22,1,1,5,0
22,1,0,6,0
22,1,1,6,2
22,1,0,7,0
22,1,1,7,0
22,1,0,8,0
22,1,1,8,1
22,1,0,9,0
22,1,1,9,0
23,1,0,1,0
23,1,1,1,0
23,1,0,2,0
23,1,1,2,0
23,1,0,3,1
23,1,1,3,1
23,1,0,4,0
23,1,1,4,0
23,1,0,5,0
23,1,1,5,0
23,1,0,6,0
23,1,1,6,0
23,1,0,7,0
23,1,1,7,0
23,1,0,8,0
23,1,1,8,0
23,1,0,9,1
23,1,1,9,0
24,1,0,1,0
24,1,1,1,0
24,1,0,2,0
24,1,1,2,0
24,1,0,3,0
24,1,1,3,0
24,1,0,4,0
24,1,1,4,0
24,1,0,5,2
24,1,1,5,1
24,1,0,6,0
24,1,1,6,1
24,1,0,7,0
24,1,1,7,0
24,1,0,8,0
24,1,1,8,1
24,1,0,9,1
24,1,1,9,0
24,1,0,10,0
24,1,1,10,0
24,1,0,11,0
24,1,1,11,0
24,1,0,12,1
24,1,1,12,0
25,1,0,1,1
25,1,1,1,0
25,1,0,2,4
25,1,1,2,0
25,1,0,3,0
25,1,1,3,0
25,1,0,4,0
25,1,1,4,1
25,1,0,5,0
25,1,1,5,3
25,1,0,6,0
25,1,1,6,0
25,1,0,7,0
25,1,1,7,1
25,1,0,8,0
25,1,1,8,0
25,1,0,9,0
25,1,1,9,0
25,1,0,10,0
25,1,1,10,0
25,1,0,11,0
25,1,1,11,0
25,1,0,12,0
25,1,1,12,0
25,1,0,13,1
25,1,1,13,0
26,1,0,1,0
26,1,1,1,2
26,1,0,2,0
26,1,1,2,0
26,1,0,3,0
26,1,1,3,0
26,1,0,4,0
26,1,1,4,0
26,1,0,5,1
26,1,1,5,0
26,1,0,6,0
26,1,1,6,0
